Geocódigo;Município [-];Município;Área do município;Área sobreposta;Percentual;+50
1507151;São Domingos do Araguaia;SÃO DOMINGOS DO ARAGUAIA;139246,7398;1323,0594;0,9502;
1507300;São Félix do Xingu;SÃO FÉLIX DO XINGU;8421298,858;4997599,337;59,3448;São Félix do Xingu
1507458;São Geraldo do Araguaia;SÃO GERALDO DO ARAGUAIA;316838,9516;44787,4552;14,1357;
1507466;São João da Ponta;SÃO JOÃO DA PONTA;19591,6417;3395,2593;17,3301;
1507474;São João de Pirabas;SÃO JOÃO DE PIRABAS;66805,8357;18945,5358;28,3591;
1507706;São Sebastião da Boa Vista;SÃO SEBASTIÃO DA BOA VISTA;163223,0177;72222,8122;44,2479;
1507805;Senador José Porfírio;SENADOR JOSÉ PORFÍRIO;1441983,182;948322,1459;65,7651;Senador José Porfírio
1507904;Soure;SOURE;285734,3007;18341,312;6,419;
1507979;Terra Santa;TERRA SANTA;189588,3665;52132,6491;27,4978;
1508001;Tomé-Açu;TOMÉ-AÇU;514536,0849;1215,8832;0,2363;
1508035;Tracuateua;TRACUATEUA;86802,9771;21086,099;24,2919;
1508050;Trairão;TRAIRÃO;1199106,956;810769,5001;67,6144;Trairão
1508084;Tucumã;TUCUMÃ;251259,3621;651,8259;0,2594;
1508100;Tucuruí;TUCURUÍ;208428,5646;47080,0466;22,5881;
1508159;Uruará;URUARÁ;1079141,556;92363,3802;8,559;
1508209;Vigia;VIGIA;40158,705;25,1863;0,0627;
1508308;Viseu;VISEU;497290,4484;51959,9774;10,4486;
1508357;Vitória do Xingu;VITÓRIA DO XINGU;308953,6645;4094,6739;1,3253;
